45;Podporučiks;Kalējs Kārlis;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;446
46;Praporščiks;Verbels Andrejs;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;446
47;Praporščiks;Mednītis Kārlis;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;446
48;Praporščiks;Pettaks Aleksandrs;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;446
49;Praporščiks;Pavārs Reinis-Voldemārs;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;446
50;Praporščiks;Grīnbergs Rihards;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;455
51;Praporščiks;Krastiņš Eduards;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;455
52;Praporščiks;Strazdas Alfrēds;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;455
53;Podporučiks;Stalgevičs Alfrēds;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;455
54;Podporučiks;Krūmiņš Voldemārs;5. Zemgales LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;494
55;Štābs kapteinis;Ilziņš Jēkabs;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem;2;;191
56;Poručiks;Paukšēns Alberts;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem;2;;50
57;Poručiks;Šteinmanis Nikolajs;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem;2;;92
58;Podporučiks;Heimanis Jēkabs;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem;2;;92
59;Poručiks;Hodkevičs Leonīds;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem;2;;158
60;Podporučiks;Lerhs Jānis;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
61;Podporučiks;Haritonovs Nikolajs;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
62;Podporučiks;Ozols Roberts;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
63;Praporščiks;Lūkazs Miķelis;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
64;Praporščiks;Volkovs Nikolajs;5. Zemgales LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
